NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,BODY_SK_ATOMS_MAX,EVOL_TIME,SUMB_TIME,TIME
00285,66179,46602,12660048,20180,12668106,808,47410,N/A,256842,291916,TIMEOUT
00286,13961,32979,81482,13931,73893,6409,39388,N/A,5381,1705,11047
00287,0,25,0,0,0,0,25,N/A,0,0,40
00288,0,84,0,0,0,0,84,N/A,0,0,48
00289,0,35,0,0,0,0,35,N/A,0,0,43
00290,7,136,20,0,26,0,136,N/A,24,4,113
00292,0,31,0,0,0,0,31,N/A,0,0,41
00293,16,2083,0,0,0,0,2083,N/A,21,0,188
00294,0,41,0,0,0,0,41,N/A,0,0,43
00295,0,42,0,0,0,0,42,N/A,0,0,43
00296,16,66,48,22,25,0,66,N/A,25,5,114
00297,0,71,0,0,0,0,71,N/A,0,0,48
00298,0,81,0,0,0,0,81,N/A,0,0,48
00299,0,9,0,0,0,0,9,N/A,0,0,38
00300,0,0,0,0,0,0,0,N/A,0,0,14
00301,3,129,1,1,0,0,129,N/A,4,1,86
00302,0,374,0,0,0,0,374,N/A,0,0,81
00303,0,361,0,0,0,0,361,N/A,0,0,81
00304,0,38,0,0,0,0,38,N/A,0,0,42
00305,0,20,0,0,0,0,20,N/A,0,0,40
00306,0,14,0,0,0,0,14,N/A,0,0,39
00307,0,0,0,0,0,0,0,N/A,0,0,13
00308,0,7,0,0,0,0,7,N/A,0,0,37
00309,0,83,0,0,0,0,83,N/A,0,0,49
00310,0,22,0,0,0,0,22,N/A,0,0,40
00311,0,22,0,0,0,0,22,N/A,0,0,40
00312,0,23,0,0,0,0,23,N/A,0,0,40
00313,0,0,0,0,0,0,0,N/A,0,0,14
00314,0,0,0,0,0,0,0,N/A,0,0,14
00315,0,9,0,0,0,0,9,N/A,0,0,38
00316,1,42,0,0,0,0,42,N/A,3,0,67
00317,0,0,0,0,0,0,0,N/A,0,0,14
00318,0,67,0,0,0,0,67,N/A,0,0,46
00319,187,243,524109,22,543543,22,254,N/A,84549,502416,TIMEOUT
00320,124,146,1702,877,1008,209,329,N/A,126,38,303
00321,0,15,0,0,0,0,15,N/A,0,0,39
00322,0,1697,0,0,0,0,1697,N/A,0,0,127
00323,0,12,0,0,0,0,12,N/A,0,0,39
00324,0,48,0,0,0,0,48,N/A,0,0,46
00325,0,1,0,0,0,0,1,N/A,0,0,36
00326,0,0,0,0,0,0,0,N/A,0,0,14
00327,0,0,0,0,0,0,0,N/A,0,0,13
00328,0,51,0,0,0,0,51,N/A,0,0,44
00329,0,16,0,0,0,0,16,N/A,0,0,39
00330,0,3,0,0,0,0,3,N/A,0,0,36
00331,0,9,0,0,0,0,9,N/A,0,0,38
00332,9,228,17,9,10,2,230,N/A,11,3,109
00333,5,66,8,5,4,1,67,N/A,9,2,91
00334,9,228,17,9,10,2,230,N/A,11,3,112
00335,0,33,0,0,0,0,33,N/A,0,0,42
00336,9,228,17,9,10,2,230,N/A,11,3,107
00337,0,27,0,0,0,0,27,N/A,0,0,42
00338,9,228,17,9,10,2,230,N/A,11,3,108
00339,4,93,7,4,4,1,94,N/A,7,2,89
00340,9,228,17,9,10,2,230,N/A,11,3,115
00341,2,33,2,3,2,3,36,N/A,6,10,80
00342,0,11,0,0,0,0,11,N/A,0,0,38
00343,4,97,326050,1,357223,1,98,N/A,53099,539012,TIMEOUT
00344,187,243,518370,22,537617,22,254,N/A,86587,499817,TIMEOUT
00345,187,243,398270,22,422871,22,254,N/A,62909,528101,TIMEOUT
00346,124,146,1702,877,1008,209,329,N/A,122,39,310
00347,8,98,33,10,29,6,104,N/A,25,4,115
00348,20,159,120,68,115,63,222,N/A,42,12,158
00349,8,98,33,10,29,6,104,N/A,24,5,114
00350,942,3018,221900,73584,165340,2,3020,N/A,364361,207948,TIMEOUT
00352,221,3256,21007,18822,20617,18432,21688,N/A,3650,606,5584
00353,221,3235,21007,18822,20617,18432,21667,N/A,3829,630,5917
00354,1501,4648,127107,0,135382,0,4648,N/A,448928,102103,TIMEOUT
00355,0,131,0,0,0,0,131,N/A,0,0,52
00356,1719,1901,894,0,893,0,1901,N/A,98,29,447
00357,1794,1981,1225,0,1224,0,1981,N/A,131,42,489
00358,101,267,534,0,529,0,267,N/A,102,22,275
